iter	Passed	Remaining
0	99	9839
1	117	5750
2	129	4175
3	133	3204
4	139	2643
5	145	2272
6	149	1982
7	170	1955
8	178	1801
9	181	1635
10	184	1494
11	196	1438
12	203	1362
13	211	1297
14	216	1227
15	221	1162
16	224	1094
17	227	1035
18	249	1063
19	253	1015
20	256	965
21	259	920
22	262	878
23	268	850
24	275	826
25	278	792
26	289	783
27	292	752
28	300	736
29	303	708
30	306	682
31	313	6632	321	653
33	325	632
34	329	611
35	331	589
3636	337	5737	342	558
38	345	540
39	351	527
40	355	511
41	359	496
42	364	483
43	370	471
44	374	457
45	379	445
46	384	433
47	387	419
48	393	409
49	397	397
50	400	384
51	403	372
52	406	360
53	410	349
54	413	338
55	419	329
56	425	320
57	428	310
5858	429	2959	433	288
60	438	280
61	443	271
62	447	262
63	453	254
64	460	248
65	463	238
66	466	229
67	468	220
68	472	212
69	475	203
70	478	195
71	481	187
72	484	179
73	488	171
7474	492	164
75	495	156
76	498	148
77	501	1478	506	134
7979	506	1280	515	120
81	519	114
82	525	107
8383	531	1084	538	95
85	542	88
86	547	81
87	558	76
88	561	69
89	564	62
90	567	56
91	570	49
92	575	43
93	578	36
94	580	30
95	583	24
96	587	18
97	589	12
98	591	5
99	593	0
0
