iter	Passed	Remaining
0	93	9264
1	134	6597
2	168	5434
3	210	5053
4	249	4731
5	289	4540
6	330	4389
7	380	4380
8	423	4280
9	463	4170
10	502	4069
11	546	4008
12	647	4330
13	697	4285
14	739	4193
15	786	4128
16	831	4058
17	881	4016
18	962	4101
19	1005	4020
20	1064	4004
21	1118	3966
22	1162	3891
23	1205	3818
24	1266	3799
25	1309	3728
26	1356	3668
27	1398	3596
28	1441	3527
29	1481	3457
30	1526	3396
31	1568	3332
32	1609	3267
33	1655	3214
34	1699	3157
35	1742	3096
36	1786	3042
37	1829	2985
38	1870	2925
39	1912	2869
40	1952	2809
41	1992	2751
42	2037	2700
43	2079	2647
44	2122	2594
45	2167	2544
46	2209	2491
47	2252	2440
48	2295	2389
49	2339	2339
50	2381	2288
51	2424	2238
52	2466	2187
53	2508	2136
54	2548	2084
55	2589	2034
56	2628	1982
57	2672	1934
58	2716	1888
59	2759	1839
60	2804	1792
61	2844	1743
62	2887	1695
63	2929	1648
64	2969	1599
65	3009	1550
66	3054	1504
67	3094	1456
68	3147	1414
69	3223	1381
70	3271	1336
71	3324	1292
72	3366	1245
73	3404	1196
74	3446	1148
75	3486	1101
76	3525	1052
77	3565	1005
78	3604	958
79	3644	911
80	3687	864
81	3729	818
82	3771	772
83	3812	726
84	3855	680
85	3897	634
86	3941	588
87	3985	543
88	4025	497
89	4064	451
90	4106	406
91	4147	360
92	4191	315
93	4236	270
94	4277	225
95	4315	179
96	4357	134
97	4397	89
98	4437	44
99	4480	0
